LRSN,PIN,curr_own_len,avg_own_len,PropClas,resOwner,ownerDistance
76223,C0070553183,1528.0,1528.0,212,0,4
20318,E0000635006,5082.0,2612.0,120,1,0
74710,W0001283044,1318.0,1947.0,211,0,3
1880,C0011224032,4578.0,2402.0,110,1,0
10053,C0070166130,4133.0,1841.0,120,1,0
7165,C0050852008,991.0,5800.0,110,0,1
10982,C0070409026,5119.0,2455.0,110,1,0
54820,W0000730033,3483.0,2004.0,120,0,3
33576,N0001136003,7886.0,5587.0,120,1,0
15482,C0090606038,1548.0,726.0,110,1,0
31434,N0000889018,879.0,1136.0,120,1,0
63013,W0001704191,8194.0,2983.0,212,0,1
25188,E0110206013,654.0,6981.0,115,1,0
19462,E0000558008,3769.0,2065.0,120,0,1
60235,W0001366002,7371.0,2775.0,315,0,2
54739,W0000712061,900.0,1309.0,120,0,2
76410,W0000147039,256.0,1977.0,211,0,2
23056,E0001271029,563.0,1981.0,110,1,0
65970,W0190341033,6527.0,7719.0,120,1,0
72500,C0080772042,6633.0,2383.0,120,1,0
72836,C0081265018,1950.0,2945.0,120,1,0
47060,S0060218010,1967.0,4572.0,110,1,0
18336,E0000432007,4454.0,7855.0,120,0,3
66635,W0200116003,819.0,1717.0,115,1,0
47687,S0060374003,12097.0,12097.0,120,1,0
23304,E0001411031,1877.0,4784.0,110,0,4
29134,N0000558011,1232.0,565.0,120,1,0
7628,C0050963024,9660.0,4844.0,110,1,0
28863,N0000506013,799.0,1512.0,120,1,0
39309,N0170471056,3122.0,11928.0,110,1,0
5005,C0040738008,8292.0,2827.0,110,1,0
66792,W0200135008,980.0,3916.0,120,1,0
7074,C0050825006,2153.0,1830.0,110,0,3
13729,C0080935010,3656.0,7528.0,115,0,1
13945,C0080995008,3364.0,1808.0,110,1,0
45423,S0002489003,249.0,1445.0,110,1,0
27242,N0000182004,591.0,2756.0,120,0,3
57130,W0000996012,10152.0,4716.0,160,1,0
81622,W0000613044,968.0,968.0,211,1,0
62292,W0001598002,1030.0,7085.0,120,0,2
49167,S0071529001,3978.0,3787.0,110,0,3
4165,C0040501018,283.0,685.0,150,1,0
33905,N0001156001,18155.0,18155.0,120,0,2
12354,C0080580030,6141.0,14705.0,115,1,0
45890,S0002794011,3301.0,1939.0,115,1,0
77124,E0000069077,4284.0,2585.0,212,1,0
67132,W0200190010,23852.0,23852.0,120,1,0
42621,S0000587011,1222.0,2187.0,120,1,0
37417,N0002043018,883.0,1944.0,120,1,0
7195,C0050854020,14259.0,5554.0,110,1,0
60867,W0001440047,24126.0,24126.0,110,1,0
68010,W0210199019,7414.0,3668.0,115,1,0
3322,C0040291014,409.0,2413.0,110,1,0
17532,E0000296015,2236.0,5164.0,120,1,0
5564,C0050292018,14001.0,5828.0,110,1,0
12394,C0080590002,619.0,8156.0,115,0,2
37399,N0002041034,11757.0,7653.0,120,1,0
2546,C0030023014,4858.0,3921.0,110,1,0
5797,C0050341106,7321.0,3575.0,211,1,0
49062,S0071384006,4088.0,1410.0,110,0,4
47264,S0060265001,4743.0,2487.0,115,1,0
57438,W0001030008,189.0,2502.0,120,1,0
13865,C0080970038,6114.0,5721.0,110,0,2
82490,S0071012019,282.0,208.0,110,0,3
51101,S0090459032,,,110,0,3
32428,N0000998006,18246.0,18246.0,120,1,0
20340,E0000635030,806.0,1627.0,120,1,0
55269,W0000808032,868.0,1844.0,120,0,3
63916,W0001956007,547.0,1795.0,211,1,0
50412,S0080851013,7405.0,5995.0,115,1,0
63612,W0001872020,2171.0,1762.0,120,1,0
18256,E0000426009,1263.0,1930.0,120,1,0
56422,W0000902022,1394.0,4702.0,181,0,4
17445,E0000292011,2031.0,2086.0,120,1,0
49253,S0071581019,767.0,1552.0,110,0,4
66327,W0200079027,584.0,431.0,115,1,0
63870,W0001951016,1173.0,2866.0,150,1,0
12701,C0080667048,5419.0,1806.0,110,0,3
59383,W0001279014,5126.0,2506.0,120,1,0
8547,C0060420028,3206.0,1870.0,110,0,2
31281,N0000870020,23488.0,23488.0,120,1,0
44402,S0001590008,1674.0,1156.0,120,0,2
36387,N0001633017,1900.0,1596.0,115,1,0
4519,C0040552002,826.0,589.0,115,1,0
34545,N0001258040,5709.0,2556.0,120,1,0
6723,C0050693026,7533.0,7833.0,110,1,0
34393,N0001233019,1033.0,6346.0,130,1,0
51988,W0000141010,7015.0,3530.0,120,1,0
33833,N0001153008,10290.0,5877.0,120,1,0
37384,N0002041019,1509.0,2985.0,120,1,0
18872,E0000481023,3397.0,2139.0,120,1,0
41339,S0000249020,269.0,2305.0,120,0,1
42320,S0000493012,1667.0,3738.0,120,0,3
